title,rate,year,duration,rank
The Shawshank Redemption,9.3,1994,142,1
The Godfather,9.2,1972,175,2
The Dark Knight,9.0,2008,152,3
The Godfather Part II,9.0,1974,202,4
12 Angry Men,9.0,1957,96,5
Schindler's List,9.0,1993,195,6
The Lord of the Rings: The Return of the King,9.0,2003,201,7
Pulp Fiction,8.9,1994,154,8
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,178,9
"The Good, the Bad and the Ugly",8.8,1966,178,10
Forrest Gump,8.8,1994,142,11
Fight Club,8.8,1999,139,12
The Lord of the Rings: The Two Towers,8.8,2002,179,13
Spider-Man: Across the Spider-Verse,8.9,2023,140,14
Inception,8.8,2010,148,15
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,124,16
The Matrix,8.7,1999,136,17
Goodfellas,8.7,1990,145,18
One Flew Over the Cuckoo's Nest,8.7,1975,133,19
Se7en,8.6,1995,127,20
It's a Wonderful Life,8.6,1946,130,21
Seven Samurai,8.6,1954,207,22
The Silence of the Lambs,8.6,1991,118,23
Saving Private Ryan,8.6,1998,169,24
Interstellar,8.7,2014,169,25
City of God,8.6,2002,130,26
Life Is Beautiful,8.6,1997,116,27
The Green Mile,8.6,1999,189,28
Star Wars: Episode IV - A New Hope,8.6,1977,121,29
Terminator 2: Judgment Day,8.6,1991,137,30
Back to the Future,8.5,1985,116,31
Spirited Away,8.6,2001,125,32
The Pianist,8.5,2002,150,33
Psycho,8.5,1960,109,34
Parasite,8.5,2019,132,35
Léon: The Professional,8.5,1994,110,36
The Lion King,8.5,1994,88,37
Gladiator,8.5,2000,155,38
American History X,8.5,1998,119,39
The Departed,8.5,2006,151,40
Whiplash,8.5,2014,106,41
The Prestige,8.5,2006,130,42
The Usual Suspects,8.5,1995,106,43
Casablanca,8.5,1942,102,44
Grave of the Fireflies,8.5,1988,89,45
Harakiri,8.6,1962,133,46
The Intouchables,8.5,2011,112,47
Modern Times,8.5,1936,87,48
Cinema Paradiso,8.5,1988,155,49
Once Upon a Time in the West,8.5,1968,165,50
Rear Window,8.5,1954,112,51
Alien,8.5,1979,117,52
City Lights,8.5,1931,87,53
Apocalypse Now,8.4,1979,147,54
Memento,8.4,2000,113,55
Django Unchained,8.4,2012,165,56
Raiders of the Lost Ark,8.4,1981,115,57
WALL·E,8.4,2008,98,58
The Lives of Others,8.4,2006,137,59
Sunset Blvd.,8.4,1950,110,60
Paths of Glory,8.4,1957,88,61
Avengers: Infinity War,8.4,2018,149,62
The Shining,8.4,1980,146,63
The Great Dictator,8.4,1940,125,64
Witness for the Prosecution,8.4,1957,116,65
Spider-Man: Into the Spider-Verse,8.4,2018,117,66
Aliens,8.4,1986,137,67
American Beauty,8.3,1999,122,68
The Dark Knight Rises,8.4,2012,164,69
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,95,70
